descendant_id,ancestor_id,relation,descendant_project_id,ancestor_project_id,descendant_author,ancestor_author,descendant_created_month,ancestor_created_month,lag_months
cross-encoder/ms-marco-MiniLM-L6-v2,cross-encoder/ms-marco-MiniLM-L12-v2,quantized,hf_model_cross-encoder__ms-marco-MiniLM-L6-v2,hf_model_cross-encoder__ms-marco-MiniLM-L12-v2,cross-encoder,cross-encoder,202203,202203,0
Qwen/Qwen3-0.6B,Qwen/Qwen3-0.6B-Base,finetune,hf_model_Qwen__Qwen3-0.6B,hf_model_Qwen__Qwen3-0.6B-Base,Qwen,Qwen,202504,202504,0
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B,finetune,hf_model_Qwen__Qwen2.5-7B-Instruct,hf_model_Qwen__Qwen2.5-7B,Qwen,Qwen,202409,202409,0
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,finetune,hf_model_Qwen__Qwen2.5-1.5B-Instruct,hf_model_Qwen__Qwen2.5-1.5B,Qwen,Qwen,202409,202409,0
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B,finetune,hf_model_meta-llama__Llama-3.1-8B-Instruct,hf_model_meta-llama__Llama-3.1-8B,meta-llama,meta-llama,202407,202407,0
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B,finetune,hf_model_Qwen__Qwen2.5-3B-Instruct,hf_model_Qwen__Qwen2.5-3B,Qwen,Qwen,202409,202409,0
Qwen/Qwen3-8B,Qwen/Qwen3-8B-Base,finetune,hf_model_Qwen__Qwen3-8B,hf_model_Qwen__Qwen3-8B-Base,Qwen,Qwen,202504,202504,0
Qwen/Qwen3-4B,Qwen/Qwen3-4B-Base,finetune,hf_model_Qwen__Qwen3-4B,hf_model_Qwen__Qwen3-4B-Base,Qwen,Qwen,202504,202504,0
Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B-Base,finetune,hf_model_Qwen__Qwen3-1.7B,hf_model_Qwen__Qwen3-1.7B-Base,Qwen,Qwen,202504,202504,0
dima806/fairface_age_image_detection,google/vit-base-patch16-224-in21k,finetune,hf_model_dima806__fairface_age_image_detection,hf_model_google__vit-base-patch16-224-in21k,dima806,google,202412,202203,33
Qwen/Qwen3-Embedding-0.6B,Qwen/Qwen3-0.6B-Base,finetune,hf_model_Qwen__Qwen3-Embedding-0.6B,hf_model_Qwen__Qwen3-0.6B-Base,Qwen,Qwen,202506,202504,2
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,finetune,hf_model_Qwen__Qwen2.5-0.5B-Instruct,hf_model_Qwen__Qwen2.5-0.5B,Qwen,Qwen,202409,202409,0
dphn/dolphin-2.9.1-yi-1.5-34b,01-ai/Yi-1.5-34B,finetune,hf_model_dphn__dolphin-2.9.1-yi-1.5-34b,hf_model_01-ai__Yi-1.5-34B,dphn,01-ai,202405,202405,0
Qwen/Qwen2.5-32B-Instruct,Qwen/Qwen2.5-32B,finetune,hf_model_Qwen__Qwen2.5-32B-Instruct,hf_model_Qwen__Qwen2.5-32B,Qwen,Qwen,202409,202409,0
OneThink/OneThinker-SFT-Qwen3-8B,Qwen/Qwen3-VL-8B-Instruct,finetune,hf_model_OneThink__OneThinker-SFT-Qwen3-8B,hf_model_Qwen__Qwen3-VL-8B-Instruct,OneThink,Qwen,202512,202510,2
deepseek-ai/DeepSeek-V3.2,deepseek-ai/DeepSeek-V3.2-Exp-Base,finetune,hf_model_deepseek-ai__DeepSeek-V3.2,hf_model_deepseek-ai__DeepSeek-V3.2-Exp-Base,deepseek-ai,deepseek-ai,202512,202509,3
Qwen/Qwen3-14B,Qwen/Qwen3-14B-Base,finetune,hf_model_Qwen__Qwen3-14B,hf_model_Qwen__Qwen3-14B-Base,Qwen,Qwen,202504,202504,0
mistralai/Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-v0.3,finetune,hf_model_mistralai__Mistral-7B-Instruct-v0.3,hf_model_mistralai__Mistral-7B-v0.3,mistralai,mistralai,202405,202405,0
Qwen/Qwen2-VL-2B-Instruct,Qwen/Qwen2-VL-2B,finetune,hf_model_Qwen__Qwen2-VL-2B-Instruct,hf_model_Qwen__Qwen2-VL-2B,Qwen,Qwen,202408,202409,-1
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B,finetune,hf_model_Qwen__Qwen2.5-Coder-7B-Instruct,hf_model_Qwen__Qwen2.5-Coder-7B,Qwen,Qwen,202409,202409,0
theainerd/Wav2Vec2-large-xlsr-hindi,facebook/wav2vec2-large-xlsr-53,finetune,hf_model_theainerd__Wav2Vec2-large-xlsr-hindi,hf_model_facebook__wav2vec2-large-xlsr-53,theainerd,facebook,202203,202203,0
cross-encoder/ms-marco-MiniLM-L4-v2,cross-encoder/ms-marco-MiniLM-L12-v2,quantized,hf_model_cross-encoder__ms-marco-MiniLM-L4-v2,hf_model_cross-encoder__ms-marco-MiniLM-L12-v2,cross-encoder,cross-encoder,202203,202203,0
Qwen/Qwen2.5-14B-Instruct-AWQ,Qwen/Qwen2.5-14B-Instruct,quantized,hf_model_Qwen__Qwen2.5-14B-Instruct-AWQ,hf_model_Qwen__Qwen2.5-14B-Instruct,Qwen,Qwen,202409,202409,0
cross-encoder/ms-marco-MiniLM-L12-v2,microsoft/MiniLM-L12-H384-uncased,quantized,hf_model_cross-encoder__ms-marco-MiniLM-L12-v2,hf_model_microsoft__MiniLM-L12-H384-uncased,cross-encoder,microsoft,202203,202203,0
Qwen/Qwen3-Embedding-4B,Qwen/Qwen3-4B-Base,finetune,hf_model_Qwen__Qwen3-Embedding-4B,hf_model_Qwen__Qwen3-4B-Base,Qwen,Qwen,202506,202504,2
Qwen/Qwen3-0.6B-FP8,Qwen/Qwen3-0.6B,quantized,hf_model_Qwen__Qwen3-0.6B-FP8,hf_model_Qwen__Qwen3-0.6B,Qwen,Qwen,202504,202504,0
Qwen/Qwen3-Embedding-8B,Qwen/Qwen3-8B-Base,finetune,hf_model_Qwen__Qwen3-Embedding-8B,hf_model_Qwen__Qwen3-8B-Base,Qwen,Qwen,202506,202504,2
Qwen/Qwen2-VL-7B-Instruct-AWQ,Qwen/Qwen2-VL-7B-Instruct,quantized,hf_model_Qwen__Qwen2-VL-7B-Instruct-AWQ,hf_model_Qwen__Qwen2-VL-7B-Instruct,Qwen,Qwen,202408,202408,0
Qwen/Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B-Base,finetune,hf_model_Qwen__Qwen3-30B-A3B,hf_model_Qwen__Qwen3-30B-A3B-Base,Qwen,Qwen,202504,202504,0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,meta-llama/Llama-3.2-1B-Instruct,quantized,hf_model_RedHatAI__Llama-3.2-1B-Instruct-FP8-dynamic,hf_model_meta-llama__Llama-3.2-1B-Instruct,RedHatAI,meta-llama,202409,202409,0
Xenova/bge-base-en-v1.5,BAAI/bge-base-en-v1.5,quantized,hf_model_Xenova__bge-base-en-v1.5,hf_model_BAAI__bge-base-en-v1.5,Xenova,BAAI,202309,202309,0
facebook/dinov3-vitb16-pretrain-lvd1689m,facebook/dinov3-vit7b16-pretrain-lvd1689m,finetune,hf_model_facebook__dinov3-vitb16-pretrain-lvd1689m,hf_model_facebook__dinov3-vit7b16-pretrain-lvd1689m,facebook,facebook,202508,202508,0
Xenova/all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,quantized,hf_model_Xenova__all-MiniLM-L6-v2,hf_model_sentence-transformers__all-MiniLM-L6-v2,Xenova,sentence-transformers,202305,202203,14
Qwen/Qwen2.5-32B-Instruct-AWQ,Qwen/Qwen2.5-32B-Instruct,quantized,hf_model_Qwen__Qwen2.5-32B-Instruct-AWQ,hf_model_Qwen__Qwen2.5-32B-Instruct,Qwen,Qwen,202409,202409,0
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B,finetune,hf_model_Qwen__Qwen2.5-14B-Instruct,hf_model_Qwen__Qwen2.5-14B,Qwen,Qwen,202409,202409,0
bartowski/gemma-2-2b-it-GGUF,google/gemma-2-2b-it,quantized,hf_model_bartowski__gemma-2-2b-it-GGUF,hf_model_google__gemma-2-2b-it,bartowski,google,202407,202407,0
OpenGVLab/InternVL2-2B,OpenGVLab/InternViT-300M-448px,merge,hf_model_OpenGVLab__InternVL2-2B,hf_model_OpenGVLab__InternViT-300M-448px,OpenGVLab,OpenGVLab,202406,202405,1
Qwen/Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B,finetune,hf_model_Qwen__Qwen2-VL-7B-Instruct,hf_model_Qwen__Qwen2-VL-7B,Qwen,Qwen,202408,202409,-1
Qwen/Qwen3-Reranker-0.6B,Qwen/Qwen3-0.6B-Base,finetune,hf_model_Qwen__Qwen3-Reranker-0.6B,hf_model_Qwen__Qwen3-0.6B-Base,Qwen,Qwen,202505,202504,1
Qwen/Qwen2.5-Coder-7B-Instruct-GPTQ-Int4,Qwen/Qwen2.5-Coder-7B-Instruct,quantized,hf_model_Qwen__Qwen2.5-Coder-7B-Instruct-GPTQ-Int4,hf_model_Qwen__Qwen2.5-Coder-7B-Instruct,Qwen,Qwen,202409,202409,0
Qwen/Qwen2.5-Coder-32B-Instruct,Qwen/Qwen2.5-Coder-32B,finetune,hf_model_Qwen__Qwen2.5-Coder-32B-Instruct,hf_model_Qwen__Qwen2.5-Coder-32B,Qwen,Qwen,202411,202411,0
lmg-anon/vntl-llama3-8b-v2-gguf,rinna/llama-3-youko-8b,quantized,hf_model_lmg-anon__vntl-llama3-8b-v2-gguf,hf_model_rinna__llama-3-youko-8b,lmg-anon,rinna,202501,202405,8
Alibaba-NLP/gte-reranker-modernbert-base,answerdotai/ModernBERT-base,finetune,hf_model_Alibaba-NLP__gte-reranker-modernbert-base,hf_model_answerdotai__ModernBERT-base,Alibaba-NLP,answerdotai,202501,202412,1
Qwen/Qwen3-8B-AWQ,Qwen/Qwen3-8B,quantized,hf_model_Qwen__Qwen3-8B-AWQ,hf_model_Qwen__Qwen3-8B,Qwen,Qwen,202505,202504,1
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B-Base,finetune,hf_model_HuggingFaceTB__SmolLM3-3B,hf_model_HuggingFaceTB__SmolLM3-3B-Base,HuggingFaceTB,HuggingFaceTB,202507,202506,1
mistralai/Mistral-Small-3.2-24B-Instruct-2506,mistralai/Mistral-Small-3.1-24B-Base-2503,finetune,hf_model_mistralai__Mistral-Small-3.2-24B-Instruct-2506,hf_model_mistralai__Mistral-Small-3.1-24B-Base-2503,mistralai,mistralai,202506,202503,3
cross-encoder/ms-marco-MiniLM-L2-v2,cross-encoder/ms-marco-MiniLM-L12-v2,quantized,hf_model_cross-encoder__ms-marco-MiniLM-L2-v2,hf_model_cross-encoder__ms-marco-MiniLM-L12-v2,cross-encoder,cross-encoder,202203,202203,0
microsoft/VibeVoice-Realtime-0.5B,Qwen/Qwen2.5-0.5B,finetune,hf_model_microsoft__VibeVoice-Realtime-0.5B,hf_model_Qwen__Qwen2.5-0.5B,microsoft,Qwen,202512,202409,15
Qwen/Qwen2.5-Coder-14B-Instruct,Qwen/Qwen2.5-Coder-14B,finetune,hf_model_Qwen__Qwen2.5-Coder-14B-Instruct,hf_model_Qwen__Qwen2.5-Coder-14B,Qwen,Qwen,202411,202411,0
meta-llama/Llama-3.1-70B-Instruct,meta-llama/Llama-3.1-70B,finetune,hf_model_meta-llama__Llama-3.1-70B-Instruct,hf_model_meta-llama__Llama-3.1-70B,meta-llama,meta-llama,202407,202407,0
google/t5gemma-s-s-prefixlm,google/t5gemma-s-s-prefixlm,finetune,hf_model_google__t5gemma-s-s-prefixlm,hf_model_google__t5gemma-s-s-prefixlm,google,google,202506,202506,0
djovak/embedic-base,intfloat/multilingual-e5-base,finetune,hf_model_djovak__embedic-base,hf_model_intfloat__multilingual-e5-base,djovak,intfloat,202407,202305,14
pytorch/gemma-3-27b-it-AWQ-INT4,google/gemma-3-27b-it,quantized,hf_model_pytorch__gemma-3-27b-it-AWQ-INT4,hf_model_google__gemma-3-27b-it,pytorch,google,202509,202503,6
RedHatAI/Qwen2.5-1.5B-quantized.w8a8,Qwen/Qwen2.5-1.5B,quantized,hf_model_RedHatAI__Qwen2.5-1.5B-quantized.w8a8,hf_model_Qwen__Qwen2.5-1.5B,RedHatAI,Qwen,202410,202409,1
NeuML/pubmedbert-base-embeddings,microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,finetune,hf_model_NeuML__pubmedbert-base-embeddings,hf_model_microsoft__BiomedNLP-BiomedBERT-base-uncased-abstract-fulltext,NeuML,microsoft,202310,202203,19
HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-135M,quantized,hf_model_HuggingFaceTB__SmolLM2-135M-Instruct,hf_model_HuggingFaceTB__SmolLM2-135M,HuggingFaceTB,HuggingFaceTB,202410,202410,0
RedHatAI/Llama-3.2-1B-Instruct-FP8,meta-llama/Llama-3.2-1B-Instruct,quantized,hf_model_RedHatAI__Llama-3.2-1B-Instruct-FP8,hf_model_meta-llama__Llama-3.2-1B-Instruct,RedHatAI,meta-llama,202409,202409,0
covalenthq/cryptoNER,FacebookAI/xlm-roberta-base,finetune,hf_model_covalenthq__cryptoNER,hf_model_FacebookAI__xlm-roberta-base,covalenthq,FacebookAI,202310,202203,19
